       lS     MSdm     omega
2.60082    21.7578  0.00135
8.74048    50.5088  0.00046
0.385126   29.0039  0.0391
5.95671    26.7504  0.000727
9.53256    21.9865  0.0015
0.617146   78.5493  0.00636
7.48689    48.129   0.000414
3.55156    95.6948  0.00164
4.11465    42.1239  0.00035
5.68417    69.5119  2.66e-05
0.0842221  96.6956  2.3
8.76764    88.717   0.000169
2.33121    47.6396  0.000343
7.04378    46.9086  0.000406
4.46905    96.5181  0.00112
7.63179    20.3656  0.00111
8.2934     38.0437  0.000785
9.37814    76.7834  3.79e-05
3.19553    90.8886  0.00141
2.6021     30.128   0.000974
3.0831     47.4619  0.000268
1.54284    45.4989  0.000941
7.70982    25.0439  0.00101
1.56735    39.9881  0.00147
4.95092    58.162   6.5e-05
9.38845    56.1276  0.000293
7.42132    83.2246  7.54e-05
6.06369    27.6381  0.00072
4.35368    86.5709  0.000541
3.72295    36.0309  0.000516
3.98139    54.7678  9.83e-05
2.92329    89.8889  0.00155
5.32249    83.9991  0.000226
8.86675    68.9829  9.68e-06
1.97521    67.4633  0.000109
8.22694    48.7482  0.000466
5.21434    29.5167  0.000622
6.57169    58.1137  0.000106
4.88616    36.123   0.00048
1.91731    72.4541  0.000428
0.592141   84.1949  0.0176
1.28463    99.5337  0.015
4.84276    23.9201  0.000728
6.46454    29.5105  0.000726
4.05076    77.7368  0.000194
9.41687    38.4881  0.000957
3.70247    50.2981  0.000178
0.727445   32.6104  0.0099
7.50902    74.6351  4.47e-05
4.99557    33.933   0.000527
2.73049    93.3606  0.00231
5.76117    74.5646  7.39e-05
4.09183    82.0224  0.000138
1.90062    23.2002  0.00233
2.77031    20.6986  0.00124
7.40085    30.995   0.000822
4.26182    52.6424  0.00014
1.52243    40.7159  0.00147
7.06327    95.9282  0.000443
5.59456    97.4904  0.000771
4.96728    99.7807  0.00112
7.28901    90.6795  0.000283
6.1699     83.2746  0.000112
6.76405    29.51    0.000763
8.30549    92.5832  0.000255
0.722676   40.6705  0.00614
4.26775    27.3151  0.000675
7.57092    47.7986  0.000431
5.90372    60.6873  3.69e-05
7.33       96.9889  0.000443
7.06684    27.5487  0.000847
8.41418    83.5763  7.58e-05
4.31359    83.1627  0.000209
5.08356    27.8299  0.000651
8.84408    40.5728  0.000796
8.88893    47.5756  0.000575
9.21932    89.6058  0.000165
2.20021    81.2876  0.000377
2.97617    40.0763  0.000514
8.56558    44.2449  0.000644
1.48485    74.192   0.000957
0.38947    24.2934  0.0459
8.16816    86.5038  0.000159
6.7282     60.4001  5.43e-05
8.9574     33.0241  0.00104
3.53419    84.8709  0.000691
0.19866    34.1896  0.108
7.15188    56.9484  0.000156
2.76735    98.6617  0.00323
4.32133    52.4437  0.000144
5.45667    56.7317  0.000102
0.398791   54.0535  0.00258
2.74875    24.3888  0.0011
6.97044    59.5936  7.95e-05
5.96674    80.0658  4.73e-05
5.88295    58.3112  8.35e-05
1.77516    79.9719  0.000502
9.42252    56.3605  0.000285
7.9609     36.8397  0.000767
9.84818    54.8209  0.000381
7.57957    53.4431  0.000276
9.50913    71.8027  1.69e-05
5.43483    83.5584  0.000175
2.93574    54.4914  0.000101
2.41583    23.3377  0.00147
4.34658    32.5868  0.000555
3.13571    94.1789  0.00188
3.43351    89.8838  0.00114
2.87199    59.442   2.26e-05
6.07258    64.4535  2.43e-06
5.59594    32.0703  0.000594
3.47458    66.0692  2.02e-05
9.55561    95.3904  0.000238
2.47482    81.6453  0.000328
4.52821    46.4637  0.000262
6.41568    71.2874  3.24e-05
2.44724    33.9526  0.000911
2.44758    35.0572  0.000857
7.28015    32.1294  0.000778
9.30664    31.5862  0.00115
4.31621    74.7653  0.000133
2.89572    98.8813  0.00301
4.22172    52.8946  0.000134
4.69837    47.1487  0.000253
6.80512    89.6036  0.000296
0.641784   45.9246  0.0048
3.77397    97.75    0.00168
9.23104    75.0132  3.18e-05
1.04724    97.9141  0.02
2.93509    76.0312  0.000332
9.00376    98.3883  0.000326
1.32179    45.8421  0.00122
1.90457    63.4733  7.76e-06
0.770213   74.4735  0.00354
5.66356    33.832   0.000564
9.07638    70.4403  1.36e-05
4.62561    81.8025  0.000102
9.38908    77.5578  3.89e-05
7.44467    53.6482  0.000261
0.288968   36.9967  0.0451
3.19081    55.9823  7.17e-05
4.96918    27.073   0.000664
6.08499    97.1108  0.00064
2.48976    31.2901  0.00101
9.57701    88.4304  0.000139
4.38517    92.6568  0.000879
8.20774    49.1408  0.000452
7.02321    51.6337  0.000288
6.53564    53.8189  0.000206
4.78138    68.9021  3.14e-05
1.39786    60.7449  7.58e-06
9.04899    36.7552  0.000947
1.5553     35.7514  0.00196
0.168774   76.5006  0.0816
8.85803    86.8203  0.00014
3.43833    77.2225  0.000266
7.33103    27.6514  0.000886
5.55283    56.2729  0.000113
0.164627   71.6939  0.042
6.89961    77.9725  6.89e-05
9.52816    71.0115  1.41e-05
3.50419    51.6876  0.000151
0.567878   84.1212  0.0183
6.71087    73.7791  4.83e-05
2.49529    28.3419  0.00114
9.49801    73.73    2.44e-05
8.00146    60.9891  5.51e-05
1.72491    45.5017  0.00076
3.6056     24.4946  0.000842
9.33863    59.8592  0.000126
2.10713    74.4569  0.000508
7.58361    88.632   0.000222
7.22237    62.011   1.55e-05
3.01397    62.18    2.31e-06
2.65328    52.9544  0.000147
5.23971    99.1308  0.000972
1.01264    77.708   0.00273
8.35596    22.6214  0.0012
8.6445     35.392   0.000916
9.2489     89.9591  0.000169
2.0792     69.5182  0.000188
7.62945    42.2151  0.000585
2.11902    80.2273  0.000349
7.19066    80.2524  3.25e-05
6.57268    47.4878  0.000353
2.63907    59.9039  1.69e-05
7.85267    70.4814  1.82e-05
3.11561    34.0403  0.000683
0.789826   59.3615  3.9e-05
1.53004    51.5558  0.000422
5.46329    76.2336  0.000102
6.85478    44.2622  0.000451
2.64219    33.0132  0.000826
8.44522    71.3721  1.94e-05
0.280043   25.3011  0.0828
0.281229   59.6701  3.78e-05
7.86088    93.5175  0.000304
3.59171    84.8728  0.000669
2.8051     45.416   0.000363
5.4685     66.5502  1.05e-05
1.52145    23.807   0.00349
9.73991    31.3604  0.00125
1.16413    55.5558  0.000258
9.5433     49.7824  0.000566
8.72181    26.5169  0.00117
9.12289    46.6883  0.000633
7.76401    65.0535  2.36e-06
5.93998    73.9117  6.26e-05
7.32355    63.9295  1.01e-06
7.7086     80.5534  2.88e-05
8.35047    47.3058  0.000524
1.4897     33.5796  0.0024
5.77408    89.7078  0.000411
3.11512    96.6568  0.00226
2.94676    81.285   0.000213
4.82005    87.8451  0.000498
7.61936    39.7206  0.000646
0.262506   99.0218  0.305
5.69117    67.4171  1.37e-05
6.591      90.3346  0.000335
5.75928    93.099   0.000537
7.92106    86.4092  0.000168
2.544      50.513   0.000228
6.80434    69.1774  1.71e-05
3.65643    44.2582  0.000315
5.3804     63.839   1.67e-06
2.79743    24.0691  0.00108
3.28594    25.4507  0.000906
6.02893    93.9681  0.000524
8.93501    78.4615  3.95e-05
7.30493    31.5422  0.000795
2.34503    58.4268  3.45e-05
2.61653    85.4742  0.00131
0.303642   66.846   0.00326
5.01263    24.4577  0.000717
9.30075    43.1285  0.000782
2.08218    93.7233  0.004
3.80504    29.5973  0.00067
1.34995    66.7941  0.000176
6.7739     64.6463  2.29e-06
8.78473    64.5081  1.23e-06
7.76664    84.7469  0.000149
1.23863    29.4018  0.00416
