        lS     MSdm       omega
1.65183     44.9147    0.000877
8.00094     74.2668    3.73e-05
5.83471     21.5048    0.000823
3.59995     30.9305    0.000667
3.08001     28.31      0.000888
2.30777     50.3637    0.000254
0.193092    79.6056    0.042
8.58262     84.6095    0.000121
7.70859     42.6612    0.000582
4.95109     53.7433    0.000139
3.67347     62.3621    1.58e-06
6.17578     41.5309    0.00045
5.39688     64.7139    3.77e-06
4.07518     96.1421    0.0013
8.73278     36.6432    0.000896
1.22046     92.8961    0.0105
1.74507     59.4719    2.18e-05
5.74398     55.4551    0.000136
4.00793     67.5429    2.85e-05
4.75358     91.5144    0.00069
4.01598     78.0626    0.000193
1.08499     33.2705    0.00447
7.78651     72.6707    2.96e-05
2.82294     50.5644    0.000202
1.73604     22.8028    0.00281
3.76359     33.1051    0.000586
7.63257     49.572     0.000388
6.0533      39.0123    0.000492
1.46875     25.5234    0.00351
7.4702      93.6472    0.000338
6.76811     55.7489    0.000171
1.53275     42.2958    0.00128
9.96861     22.833     0.00159
1.02976     23.5101    0.00743
7.65224     63.5645    5.82e-07
0.721056    96.7626    0.038
6.82897     90.6992    0.000322
5.64238     51.9762    0.0002
0.826748    75.3979    0.00352
2.74838     42.2168    0.00049
1.67805     87.1088    0.00357
1.01291     83.3454    0.00402
3.54005     58.4129    3.94e-05
2.21522     99.0073    0.00508
3.70706     83.8713    0.00043
8.20928     22.1376    0.00118
4.40171     78.2737    0.000158
6.62731     26.336     0.000811
0.0198878   26.2451   11.6
7.47792     24.3142    0.000986
2.53473     39.9392    0.000589
5.77988     41.0968    0.000428
8.58823     23.4882    0.00123
8.53317     36.7159    0.00086
0.522433    41.7535    0.0105
9.25124     30.4286    0.00118
1.93716     64.2705    1.93e-05
4.49164     66.2473    1.34e-05
4.68084     89.7327    0.000617
9.79628     58.8756    0.000187
4.7822      21.7195    0.000776
5.28312     44.1086    0.000337
7.41519     55.0254    0.000221
6.9902      21.0093    0.000981
6.56819     32.9231    0.000668
1.45243     90.2875    0.00617
7.48459     57.8092    0.000144
3.29576     94.9434    0.0018
6.00354     84.8141    0.000247
9.87704     31.0646    0.00129
6.89837     89.6907    0.000291
8.76803     81.2224    2.51e-05
3.16093     36.84      0.00058
1.36301     83.4194    0.00238
1.02928     33.2028    0.00496
7.92733     83.9584    0.000102
0.673202    35.1254    0.0101
9.39954     64.7525    1.31e-06
0.877741    40.3874    0.00433
0.867354    49.7214    0.00167
9.18947     67.4789    5.53e-06
6.73908     70.9351    2.72e-05
9.08891     87.7472    0.000145
5.06109     72.0478    6.03e-05
2.83079     85.4793    0.00112
3.57564     39.1697    0.00045
1.26508     79.1052    0.0014
0.57171     28.6812    0.0187
4.81878     32.3079    0.000556
5.85928     61.0764    2.88e-05
1.73275     53.612     0.000219
1.96235     56.7992    7.6e-05
1.51091     54.1525    0.000246
6.03961     50.0923    0.000259
9.60423     66.296     3.11e-06
0.833888    44.9395    0.00323
3.34113     90.0115    0.00121
8.2064      27.982     0.00103
9.33906     58.8547    0.000171
1.51372     48.3925    0.000697
6.18543     21.2257    0.000865
9.86127     73.3612    2.13e-05
4.6719      84.3765    0.000359
5.34525     65.795     7.59e-06
3.86522     56.9362    6.32e-05
2.17888     93.9958    0.00374
2.39613     29.567     0.00117
3.18668     95.3717    0.00198
3.17835     28.8086    0.000835
5.72604     50.062     0.000242
4.80855     37.7295    0.000446
9.56991     22.9673    0.00148
7.38352     21.6557    0.00103
1.26311     80.675     0.000984
7.73873     50.1275    0.000381
2.49175     67.5647    7.22e-05
8.07156     79.309     3.73e-05
6.06658     83.1013    0.000104
4.89814     69.4278    3.47e-05
3.66684     51.9837    0.000145
5.90863     34.1468    0.000577
5.73507     43.9469    0.000367
4.90349     62.8815    3.13e-07
8.0234      72.5964    2.75e-05
0.140306    98.6953    0.99
3.61358     32.5155    0.000622
7.0377      56.5469    0.000162
8.58359     85.5633    0.000133
1.52418     44.7061    0.00104
8.10698     41.5228    0.000663
4.05862     93.8142    0.00111
6.57867     72.4335    3.92e-05
8.98944     73.6245    2.67e-05
1.02058     87.7646    0.00986
3.80631     66.0094    1.64e-05
7.37169     24.4345    0.000965
6.27243     91.9521    0.000418
8.73219     97.3786    0.000324
2.69735     35.5323    0.0007
7.06617     42.2976    0.000519
2.59956     75.0729    0.000371
3.77028     28.2012    0.00071
2.33838     76.0284    0.000513
1.98731     83.9221    0.00146
9.61845     70.8448    1.34e-05
7.11591     41.8302    0.000535
3.69599     33.1987    0.000592
7.96679     62.2349    1.04e-05
4.54576     30.0661    0.000603
0.702115    63.4051    4.92e-05
8.18476     23.7444    0.00113
0.978449    57.1437    0.000167
5.00581     80.9418    7.06e-05
9.63483     85.6185    0.000107
5.80616     45.2809    0.000344
4.23795     56.2336    7.98e-05
4.999       95.637     0.000846
5.97997     68.2645    1.67e-05
1.73405     20.2427    0.00308
9.28653     82.944     4.11e-05
0.3421      93.5754    0.127
2.30895     44.0219    0.000504
7.95438     59.4878    0.000105
9.47545     80.1431    1.91e-05
3.95063     29.517     0.000653
0.769961    73.173     0.00286
1.38523     82.0181    0.00113
0.668673    86.337     0.0196
5.69387     54.0412    0.000162
2.53979     74.6673    0.000366
2.41142     97.6846    0.00396
2.07358     37.3772    0.00103
2.3198      60.5523    1.03e-05
5.94012     77.2666    9.34e-05
4.812       60.7076    2.51e-05
9.16812     55.6082    0.000301
9.71044     50.4808    0.000558
7.32418     58.807     0.00011
7.77707     21.3098    0.00112
9.14246     66.5233    3.8e-06
9.52303     56.5032    0.000284
6.43853     34.8282    0.000615
4.55293     68.526     3.08e-05
6.93215     92.5067    0.000359
8.72011     27.7614    0.00114
3.55024     96.7604    0.00177
2.46529     77.0884    0.000502
4.28172     82.4373    0.000147
4.64577     37.9792    0.000438
7.6457      90.5074    0.000255
6.78726     22.1114    0.000924
8.29739     94.6213    0.000296
0.350429    64.2631    0.000539
3.6131      30.8503    0.000667
0.329953    40.6318    0.0274
9.21907     46.7554    0.000643
2.04312     43.4632    0.00067
2.17939     34.5006    0.0011
9.25203     91.0361    0.000184
2.87818     44.43      0.000385
1.88573     61.5615    3.39e-06
6.96027     27.407     0.000835
9.0348      56.667     0.000251
6.24871     22.0741    0.000853
9.63951     48.7472    0.000618
6.55903     82.2296    5.92e-05
3.99311     69.0253    4.61e-05
0.561359    24.1456    0.0231
1.44019     93.2191    0.00784
7.28894     99.8207    0.000536
6.45459     53.3247    0.000213
4.70875     38.7509    0.000423
7.35076     26.0355    0.000925
1.28162     99.0419    0.0146
8.43801     52.3532    0.000371
6.47561     45.2456    0.000395
0.164536    30.9982    0.18
3.52063     67.453     3.54e-05
9.11722     88.5681    0.000154
8.86427     88.8919    0.000168
9.87231     59.6294    0.000152
1.76991     44.3375    0.000813
6.74148     75.1313    5.94e-05
8.32731     80.5077    2.47e-05
9.63585     52.7506    0.000455
4.50047     39.0153    0.000415
5.89661     24.75      0.000761
3.01793     84.5384    0.000901
0.627137    74.8137    0.00554
0.180143    35.4742    0.121
5.33924     21.6834    0.000785
5.36376     45.2169    0.000319
0.814501    77.7546    0.00413
8.03549     55.837     0.000229
0.680772    62.1539    7.26e-07
5.10323     64.7019    4.16e-06
8.03993     41.2877    0.000661
4.6152      31.108     0.00058
8.97078     34.5352    0.000999
6.6465      71.7138    3.32e-05
0.565869    84.9988    0.0239
0.535838    62.7214    1.23e-05
8.33506     32.2777    0.000946
8.13621     83.6712    8.5e-05
1.1988      83.1054    0.00247
9.2804      25.9797    0.00131
8.03597     98.8785    0.000419
2.81087     91.433     0.00189
2.21949     23.9076    0.00169
6.77321     94.925     0.000448
8.32599     21.9801    0.00121
5.94183     81.3787    5.58e-05
6.30674     81.0119    4.56e-05
3.59295     37.8474    0.000483
6.49958     93.673     0.000443
4.4263      86.47      0.000519
3.91539     38.6419    0.000437
4.74937     77.1308    0.000143
6.54501     31.4201    0.000697
8.00993     64.5457    1.52e-06
2.38539     42.6536    0.000535
0.092033    96.0209    1.86
5.60045     76.2039    9.73e-05
7.32929     94.1592    0.000364
4.1603      33.1519    0.000551
9.16566     52.0946    0.00044
4.06769     96.6441    0.00135
2.37973     33.5447    0.000981
7.51349     54.2949    0.000247
5.51593     34.4989    0.000541
8.51063     28.0327    0.00109
9.22546     91.5951    0.000193
5.8215      71.5556    4.15e-05
4.1432      44.6082    0.000296
7.10246     81.5562    4.13e-05
5.19139     37.6033    0.000462
2.20631     95.7837    0.00414
8.57123     59.4653    0.000122
5.64625     97.9482    0.000781
3.49571     39.255     0.000456
7.64918     75.5982    4.96e-05
9.03723     34.7888    0.001
7.809       89.5234    0.000226
3.21628     95.5538    0.00197
7.9445      34.9605    0.000812
